Anime_id,Title,Type,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,Genre,Producer,Studio
8777,Nobara no Julie,TV,6,39,11536,287,13,Unknown,"Jan 4, 1979 to Apr 5, 1979",https://myanimelist.net/anime/8777/Nobara_no_Julie,"['Adventure', 'Historical', 'Music', 'Drama']",['DAX Production'],
8782,Hiyoko Gumo,Music,5.42,289,10450,556,1,Original,1-Aug-09,https://myanimelist.net/anime/8782/Hiyoko_Gumo,"['Music', 'Kids', 'Fantasy']",['NHK'],
8783,Nezha Nao Hai,Movie,6.61,136,11059,342,1,Novel,19-May-79,https://myanimelist.net/anime/8783/Nezha_Nao_Hai,['Kids'],,
8786,Inakappe Taishou,TV,6.58,59,11471,280,104,Unknown,"Oct 4, 1970 to Sep 24, 1972",https://myanimelist.net/anime/8786/Inakappe_Taishou,"['Comedy', 'Sports']",,['Tatsunoko Production']
8792,Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,OVA,6.23,4891,4681,7682,1,Other,9-May-10,https://myanimelist.net/anime/8792/Madobe_Nanami_no_Windows_7_de_PC_Jisaku_Ouen_Commercial,['Comedy'],,['Rising Force']
8795,Panty & Stocking with Garterbelt,TV,7.77,105804,399,206354,13,Original,"Oct 2, 2010 to Dec 25, 2010",https://myanimelist.net/anime/8795/Panty___Stocking_with_Garterbelt,"['Action', 'Comedy', 'Parody', 'Supernatural', 'Ecchi']","['Kadokawa Shoten', 'Half H.P Studio', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG', 'Kadokawa Contents Gate']",['Gainax']
8799,Okawari-Boy Starzan-S,TV,6.76,29,11935,202,34,Original,"Jan 7, 1984 to Aug 25, 1984",https://myanimelist.net/anime/8799/Okawari-Boy_Starzan-S,"['Action', 'Sci-Fi', 'Adventure']",,['Tatsunoko Production']
8800,Senkou no Night Raid Specials,Special,6.96,1913,5955,4131,3,Original,"Jun 23, 2010 to Dec 22, 2010",https://myanimelist.net/anime/8800/Senkou_no_Night_Raid_Specials,"['Action', 'Historical', 'Military', 'Super Power']",['Aniplex'],['A-1 Pictures']
8812,Alice SOS,TV,6.15,111,9013,995,28,Original,"Apr 6, 1998 to Jan 28, 1999",https://myanimelist.net/anime/8812/Alice_SOS,['Adventure'],['NHK'],['J.C.Staff']
8815,Domo TV,TV,6.42,429,9238,992,26,Original,2008,https://myanimelist.net/anime/8815/Domo_TV,['Comedy'],['NHK'],['dwarf']
8829,Shounen Ashibe (TV),TV,5.78,46,11290,310,37,4-koma manga,"Apr 11, 1991 to Dec 28, 1991",https://myanimelist.net/anime/8829/Shounen_Ashibe_TV,"['Comedy', 'Slice of Life']",['TBS'],['Life Work']
8840,Senkou no Night Raid: Yogen,Special,6.37,1557,6720,3076,1,Original,18-May-10,https://myanimelist.net/anime/8840/Senkou_no_Night_Raid__Yogen,"['Action', 'Historical', 'Military', 'Super Power']",['Aniplex'],['A-1 Pictures']
8841,Kore wa Zombie Desu ka?,TV,7.59,218823,167,386935,12,Light novel,"Jan 11, 2011 to Mar 30, 2011",https://myanimelist.net/anime/8841/Kore_wa_Zombie_Desu_ka,"['Action', 'Comedy', 'Ecchi', 'Harem', 'Magic', 'Supernatural']","['Kadokawa Shoten', 'AT-X', 'Kadokawa Pictures Japan', 'KlockWorx', 'flying DOG']",['Studio Deen']
8848,"Oishinbo: Kyuukyoku tai Shikou, Chouju Ryouri Taiketsu!!",Movie,6.15,71,11609,258,1,Manga,11-Dec-92,https://myanimelist.net/anime/8848/Oishinbo__Kyuukyoku_tai_Shikou_Chouju_Ryouri_Taiketsu,"['Comedy', 'Seinen', 'Slice of Life']",['Nippon Television Network'],['Shin-Ei Animation']
8853,Chouriki Robo Galatt,TV,6.72,32,11546,254,25,Unknown,"Oct 5, 1984 to Apr 5, 1985",https://myanimelist.net/anime/8853/Chouriki_Robo_Galatt,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']",,['Sunrise']
8855,Eiyuu Gaiden Mozaicka,OVA,5.99,243,9525,761,4,Original,"Nov 21, 1991 to Dec 21, 1991",https://myanimelist.net/anime/8855/Eiyuu_Gaiden_Mozaicka,['Fantasy'],['Starchild Records'],['Studio Deen']
8857,Nichijou: Nichijou no 0-wa,OVA,7.4,26723,1738,47366,1,Manga,12-Mar-11,https://myanimelist.net/anime/8857/Nichijou__Nichijou_no_0-wa,"['Comedy', 'School', 'Slice of Life']",['Animation Do'],['Kyoto Animation']
8861,"Yosuga no Sora: In Solitude, Where We Are Least Alone.",TV,6.59,125614,335,235104,12,Visual novel,"Oct 4, 2010 to Dec 20, 2010",https://myanimelist.net/anime/8861/Yosuga_no_Sora__In_Solitude_Where_We_Are_Least_Alone,"['Drama', 'Ecchi', 'Harem', 'Romance']","['Starchild Records', 'Studio Mausu', 'GANSIS', 'PRA']",['feel.']
8862,Ganbare Goemon: Jigen Jou no Akumu,OVA,6.18,38,12901,167,1,Game,26-Mar-93,https://myanimelist.net/anime/8862/Ganbare_Goemon__Jigen_Jou_no_Akumu,['Comedy'],['AIC'],
8879,Dolphin Ouji,TV,5.48,25,12612,178,3,Unknown,"Apr 4, 1965 to Apr 18, 1965",https://myanimelist.net/anime/8879/Dolphin_Ouji,"['Action', 'Adventure', 'Kids', 'Sci-Fi']",['Fuji TV'],
8888,Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,Movie,7.56,57624,857,114360,1,Original,16-Jul-12,https://myanimelist.net/anime/8888/Code_Geass__Boukoku_no_Akito_1_-_Yokuryuu_wa_Maiorita,"['Action', 'Mecha', 'Military', 'Sci-Fi']","['Bandai Visual', 'Bandai', 'Bandai Namco Entertainment', 'Hakuhodo DY Media Partners']",['Sunrise']
8889,Majo demo Steady,OVA,5.25,48,10608,291,1,Unknown,5-Sep-86,https://myanimelist.net/anime/8889/Majo_demo_Steady,"['Comedy', 'Magic', 'Romance', 'Ecchi']",,['Tokyo Media Connections']
8890,Nippon-ichi no Otoko no Tamashii,TV,6.31,59,10094,561,16,Unknown,"Jan 5, 1999 to Jan 29, 1999",https://myanimelist.net/anime/8890/Nippon-ichi_no_Otoko_no_Tamashii,"['Comedy', 'Romance']",,['Studio Deen']
8891,Nippon-ichi no Otoko no Tamashii 2,TV,6.41,41,11478,291,16,Unknown,"May 4, 1999 to May 28, 1999",https://myanimelist.net/anime/8891/Nippon-ichi_no_Otoko_no_Tamashii_2,"['Comedy', 'Romance']",,['Studio Deen']
8894,Yume-iro Pâtissière: Mune Kyun Tropical Island!,Special,7.28,3565,4733,7160,1,Manga,30-Jul-10,https://myanimelist.net/anime/8894/Yume-iro_P%C3%A2tissi%C3%A8re__Mune_Kyun_Tropical_Island,"['Kids', 'School', 'Shoujo']",['Shueisha'],['Studio Pierrot']
8896,Natsufuku no Shoujo-tachi,Special,6.21,111,10368,500,1,Unknown,7-Aug-88,https://myanimelist.net/anime/8896/Natsufuku_no_Shoujo-tachi,"['Drama', 'Historical']",['NHK'],['Madhouse']
8897,Ganbare! Marine Kid,TV,5.48,33,12236,195,13,Unknown,"Oct 6, 1966 to Dec 26, 1966",https://myanimelist.net/anime/8897/Ganbare_Marine_Kid,"['Action', 'Adventure', 'Sci-Fi', 'Kids']","['TBS', 'Tele-Cartoon Japan']",
8898,Circuit Angel: Ketsui no Starting Grid,OVA,5.6,247,9991,596,1,Original,21-May-87,https://myanimelist.net/anime/8898/Circuit_Angel__Ketsui_no_Starting_Grid,"['Action', 'Sports']",,['Studio Unicorn']
8899,Kaitei Shounen Marine,TV,6.31,59,11350,301,65,Unknown,"Jan 13, 1969 to Sep 2, 1971",https://myanimelist.net/anime/8899/Kaitei_Shounen_Marine,"['Action', 'Adventure', 'Kids', 'Sci-Fi']",['Tele-Cartoon Japan'],
8900,Saru Getchu: On Air 2nd,TV,6.5,72,11278,341,51,Game,"Oct 7, 2006 to Sep 29, 2007",https://myanimelist.net/anime/8900/Saru_Getchu__On_Air_2nd,"['Adventure', 'Comedy', 'Fantasy', 'Kids', 'Romance', 'Shounen']",,['Xebec']
8908,Tales of Symphonia The Animation: Kaette Kita Kratos-sensei no Private Lesson,Special,6.87,1725,5744,4619,1,Game,26-Sep-08,https://myanimelist.net/anime/8908/Tales_of_Symphonia_The_Animation__Kaette_Kita_Kratos-sensei_no_Private_Lesson,"['Comedy', 'School']",,['ufotable']
8909,Tales of Symphonia The Animation: Tethe'alla-hen Specials,Special,7.19,2300,5172,5873,4,Game,"Mar 25, 2010 to Feb 25, 2011",https://myanimelist.net/anime/8909/Tales_of_Symphonia_The_Animation__Tethealla-hen_Specials,['Comedy'],,['ufotable']
8915,Dantalian no Shoka,TV,7.32,41458,980,101974,12,Light novel,"Jul 16, 2011 to Oct 1, 2011",https://myanimelist.net/anime/8915/Dantalian_no_Shoka,"['Action', 'Mystery', 'Historical', 'Supernatural']","['TV Tokyo', 'Kadokawa Shoten', 'Kadokawa Pictures Japan', 'KlockWorx', 'NTT Docomo', 'Dwango']",['Gainax']
8917,Mouretsu Pirates,TV,7.22,19839,1637,55841,26,Light novel,"Jan 8, 2012 to Jul 1, 2012",https://myanimelist.net/anime/8917/Mouretsu_Pirates,"['Sci-Fi', 'Space']","['Starchild Records', 'Magic Capsule']",['Satelight']
8918,Princess Lover! OVA,OVA,6.8,10834,2768,21885,2,Visual novel,"Sep 17, 2010 to Oct 22, 2010",https://myanimelist.net/anime/8918/Princess_Lover_OVA,['Hentai'],"['Hoods Entertainment', 'L.']",
8919,Licca-chan no Nichiyoubi,OVA,6.12,132,10910,365,1,Unknown,21-Jul-92,https://myanimelist.net/anime/8919/Licca-chan_no_Nichiyoubi,['Adventure'],['Takara'],
8920,Inuki Kanako Zekkyou Collection: Gakkou ga Kowai!,OVA,5.66,198,9620,662,1,Unknown,6-Aug-99,https://myanimelist.net/anime/8920/Inuki_Kanako_Zekkyou_Collection__Gakkou_ga_Kowai,['Horror'],"['Kadokawa Shoten', 'Toei Video']",['Toei Animation']
8928,Visions of Frank: Short Films by Japan's Most Audacious Animators,OVA,5.99,125,11112,364,9,Unknown,25-Nov-05,https://myanimelist.net/anime/8928/Visions_of_Frank__Short_Films_by_Japans_Most_Audacious_Animators,['Dementia'],,
8934,Star Driver: Kagayaki no Takuto,TV,7.32,31799,1213,78340,25,Original,"Oct 3, 2010 to Apr 3, 2011",https://myanimelist.net/anime/8934/Star_Driver__Kagayaki_no_Takuto,"['Action', 'Romance', 'Mecha', 'Shounen']","['Aniplex', 'Dentsu', 'Square Enix', 'Mainichi Broadcasting System', 'Bandai Namco Entertainment']",['Bones']
8935,Nekketsu Uchuujin,ONA,5.32,589,9224,997,1,Unknown,31-Oct-09,https://myanimelist.net/anime/8935/Nekketsu_Uchuujin,"['Comedy', 'Sci-Fi']",,
8936,Melody,ONA,5.91,556,8954,1144,1,Unknown,"Jan, 2008",https://myanimelist.net/anime/8936/Melody,['Drama'],,
8937,Toaru Majutsu no Index II,TV,7.79,129881,326,236169,24,Light novel,"Oct 8, 2010 to Apr 1, 2011",https://myanimelist.net/anime/8937/Toaru_Majutsu_no_Index_II,"['Action', 'Sci-Fi', 'Super Power', 'Magic']","['Geneon Universal Entertainment', 'Square Enix', 'AT-X', 'ASCII Media Works', 'Delfi Sound']",['J.C.Staff']
8939,Bohemian Rhapsody,Music,5.97,2262,6073,3688,1,Manga,23-Dec-09,https://myanimelist.net/anime/8939/Bohemian_Rhapsody,"['Music', 'Sci-Fi', 'Space']",['Think Corporation'],
8950,Akage no Anne: Green Gables e no Michi,Movie,6.67,361,7920,1634,1,Unknown,17-Jul-10,https://myanimelist.net/anime/8950/Akage_no_Anne__Green_Gables_e_no_Michi,"['Adventure', 'Slice of Life', 'Historical', 'Shoujo']",,['Nippon Animation']
8952,Nougyou Musume!,Special,5.12,697,8877,1245,1,Unknown,7-Oct-10,https://myanimelist.net/anime/8952/Nougyou_Musume,['Comedy'],,['Toei Animation']
8957,Susume! Gachimuchi Sankyoudai,ONA,4.89,68,12908,176,1,Unknown,2-Jun-10,https://myanimelist.net/anime/8957/Susume_Gachimuchi_Sankyoudai,['Comedy'],,['TMS Entertainment']
8958,Potecco Babies,ONA,5.1,94,12211,233,2,Original,"May 17, 2010 to Sep 4, 2010",https://myanimelist.net/anime/8958/Potecco_Babies,['Comedy'],,['Shin-Ei Animation']
8960,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,TV,6.33,218,9445,928,10,Game,"Aug 5, 2010 to Oct 7, 2010",https://myanimelist.net/anime/8960/MonHun_Nikki_Girigiri_Airou_Mura__Airou_Kiki_Ippatsu,"['Action', 'Comedy']",,['DLE']
8961,Tono to Issho: Ippunkan Gekijou,TV,6.34,1141,7144,2609,12,4-koma manga,"Jul 6, 2010 to Sep 21, 2010",https://myanimelist.net/anime/8961/Tono_to_Issho__Ippunkan_Gekijou,"['Comedy', 'Samurai', 'Seinen']",['Frontier Works'],['Gathering']
8968,Shogi Hour,ONA,4.98,308,10351,539,1,Unknown,5-Oct-08,https://myanimelist.net/anime/8968/Shogi_Hour,"['Parody', 'Game', 'Comedy']",['Space Neko'],
8972,Mahou no Princess Minky Momo vs. Mahou no Tenshi Creamy Mami,Movie,5.8,299,9573,761,1,Original,3-Aug-85,https://myanimelist.net/anime/8972/Mahou_no_Princess_Minky_Momo_vs_Mahou_no_Tenshi_Creamy_Mami,"['Magic', 'Shoujo']",,['Studio Pierrot']
8985,Yojouhan Shinwa Taikei Specials,Special,6.35,6392,3548,13166,3,Novel,"Aug 20, 2010 to Nov 26, 2010",https://myanimelist.net/anime/8985/Yojouhan_Shinwa_Taikei_Specials,['Comedy'],,['Madhouse']
8986,Supernatural The Animation,OVA,7.12,6100,2842,22327,22,Other,"Feb 23, 2011 to Apr 27, 2011",https://myanimelist.net/anime/8986/Supernatural_The_Animation,"['Action', 'Demons', 'Horror', 'Supernatural']",,['Madhouse']
8987,Princess Knight☆Catue,OVA,6.7,1520,5930,3818,3,Visual novel,"Jun 11, 2010 to Nov 18, 2011",https://myanimelist.net/anime/8987/Princess_Knight%E2%98%86Catue,['Hentai'],['Valkyria'],['Studio 9 MAiami']
8993,Juliet,OVA,5.07,168,10359,481,1,Manga,25-Mar-99,https://myanimelist.net/anime/8993/Juliet,"['Hentai', 'Comedy', 'Supernatural']",,"['Public &amp; Basic', 'Ripple Film']"
8995,Tales of Symphonia The Animation: Sekai Tougou-hen,OVA,7.59,6758,3228,17205,3,Game,"Nov 23, 2011 to Oct 24, 2012",https://myanimelist.net/anime/8995/Tales_of_Symphonia_The_Animation__Sekai_Tougou-hen,"['Action', 'Adventure', 'Magic', 'Martial Arts', 'Fantasy']",,['ufotable']
9001,Je T'aime,OVA,6.7,2399,5578,4620,1,Unknown,6-Jul-10,https://myanimelist.net/anime/9001/Je_Taime,['Sci-Fi'],,['Production I.G']
9002,True Tears: Raigomaru to Jibeta no Monogatari,Special,6.25,2629,5202,5864,1,Original,26-Mar-10,https://myanimelist.net/anime/9002/True_Tears__Raigomaru_to_Jibeta_no_Monogatari,['Kids'],"['Bandai Visual', 'Lantis']",['P.A. Works']
9006,Rei Zero,OVA,6.24,692,7096,2279,2,Visual novel,"Jun 26, 2010 to Apr 1, 2011",https://myanimelist.net/anime/9006/Rei_Zero,['Hentai'],"['Pixy', 'Anime Antenna Iinkai']",
9007,Sore Ike! Anpanman: Black Nose to Mahou no Uta,Movie,5.9,41,12820,180,1,Unknown,10-Jul-10,https://myanimelist.net/anime/9007/Sore_Ike_Anpanman__Black_Nose_to_Mahou_no_Uta,"['Comedy', 'Fantasy', 'Kids']",,['TMS Entertainment']
9009,Otome Juurin Yuugi: Maiden Infringement Play,OVA,6.43,964,6240,3385,2,Visual novel,"Aug 27, 2010 to Nov 26, 2010",https://myanimelist.net/anime/9009/Otome_Juurin_Yuugi__Maiden_Infringement_Play,['Hentai'],['Suzuki Mirano'],
9015,O-bake no... Holly,TV,6.34,67,11766,268,200,Unknown,"Jan 28, 1991 to Apr 12, 1993",https://myanimelist.net/anime/9015/O-bake_no_Holly,"['Comedy', 'Fantasy', 'Kids', 'Magic']","['NHK', 'Studio Junio']",
9023,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Special,7.53,6086,3695,13641,3,Unknown,"Apr 7, 2010 to Jun 2, 2010",https://myanimelist.net/anime/9023/Katekyo_Hitman_Reborn__Mr_Rebokku_no_Ciao_Ciao_Interview,['Comedy'],,['Artland']
9032,Inazuma Eleven: Saikyou Gundan Ogre Shuurai,Movie,7.46,6004,3758,10072,1,Unknown,23-Dec-10,https://myanimelist.net/anime/9032/Inazuma_Eleven__Saikyou_Gundan_Ogre_Shuurai,"['Shounen', 'Sports', 'Super Power']",['Dentsu Tec'],['OLM']
9035,Lupin the Third x Monkey Majik,Music,6.44,769,7572,1913,1,Unknown,26-Aug-09,https://myanimelist.net/anime/9035/Lupin_the_Third_x_Monkey_Majik,"['Adventure', 'Music']",,
9053,Ice Movie,Movie,5.67,286,9360,955,1,Unknown,29-Nov-08,https://myanimelist.net/anime/9053/Ice_Movie,"['Action', 'Sci-Fi', 'Military']",,['PPM']
9061,RPG Densetsu Hepoi,TV,6.65,26,11687,231,50,Unknown,"Oct 6, 1990 to Sep 28, 1991",https://myanimelist.net/anime/9061/RPG_Densetsu_Hepoi,"['Adventure', 'Fantasy']",['Nihon Ad Systems'],['Studio Gallop']
9063,Toaru Kagaku no Railgun: Entenka no Satsuei Model mo Raku Ja Arimasen wa ne.,OVA,6.91,13082,2535,26548,1,Manga,24-Jul-10,https://myanimelist.net/anime/9063/Toaru_Kagaku_no_Railgun__Entenka_no_Satsuei_Model_mo_Raku_Ja_Arimasen_wa_ne,"['Comedy', 'Ecchi']",,['J.C.Staff']
9065,Hakuouki Hekketsuroku,TV,7.73,29164,1552,59983,10,Visual novel,"Oct 4, 2010 to Dec 6, 2010",https://myanimelist.net/anime/9065/Hakuouki_Hekketsuroku,"['Action', 'Drama', 'Historical', 'Josei', 'Samurai', 'Supernatural']",,['Studio Deen']
9070,Oden-kun,TV,7,16,12830,174,156,Picture book,"Aug 4, 2005 to Feb 27, 2009",https://myanimelist.net/anime/9070/Oden-kun,['Comedy'],['Studio Egg'],
9078,Rokudenashi Blues 1993,Movie,6.4,82,10385,491,1,Unknown,24-Jul-93,https://myanimelist.net/anime/9078/Rokudenashi_Blues_1993,"['Action', 'Comedy', 'School', 'Drama', 'Sports', 'Shounen']",,['Toei Animation']
9098,Mobile Suit SD Gundam Festival,Movie,6.07,253,8822,1146,1,Unknown,13-Mar-93,https://myanimelist.net/anime/9098/Mobile_Suit_SD_Gundam_Festival,"['Action', 'Comedy', 'Fantasy', 'Mecha', 'Parody']",,['Sunrise']
9100,Umi Monogatari: Marin no Kore Naani?,Special,6.34,344,7976,1608,4,Game,"Nov 22, 2009 to Feb 24, 2010",https://myanimelist.net/anime/9100/Umi_Monogatari__Marin_no_Kore_Naani,['Comedy'],,['Zexcs']
9119,Chirorin Mura Monogatari,TV,6.74,205,10614,508,170,Unknown,"Apr 6, 1992 to Mar 19, 1993",https://myanimelist.net/anime/9119/Chirorin_Mura_Monogatari,"['Kids', 'Slice of Life']",['NHK'],
9120,Beelzebub: Hirotta Akachan wa Daimaou!?,Special,7.33,12872,2601,25790,1,Manga,23-Oct-10,https://myanimelist.net/anime/9120/Beelzebub__Hirotta_Akachan_wa_Daimaou,"['Action', 'Supernatural', 'Comedy', 'School', 'Demons', 'Shounen']",['Shueisha'],"['Studio Pierrot', 'Pierrot Plus']"
9124,Ookiku Furikabutte: Natsu no Taikai-hen – Mokuhyou,Special,7.5,2658,5182,5616,1,Manga,22-Dec-10,https://myanimelist.net/anime/9124/Ookiku_Furikabutte__Natsu_no_Taikai-hen_%E2%80%93_Mokuhyou,"['Comedy', 'Sports']",,['A-1 Pictures']
9127,Zettai Karen Children: Gentei Kaikin!! OVA Chou Sakidori Special!!,OVA,6.96,558,7603,2015,1,Unknown,16-Apr-10,https://myanimelist.net/anime/9127/Zettai_Karen_Children__Gentei_Kaikin_OVA_Chou_Sakidori_Special,"['Action', 'Comedy', 'Shounen', 'Supernatural']",,['SynergySP']
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,OVA,8.29,22242,1909,38507,13,Manga,"Feb 23, 2011 to Jul 20, 2011",https://myanimelist.net/anime/9130/Saint_Seiya__The_Lost_Canvas_-_Meiou_Shinwa_2,"['Action', 'Adventure', 'Martial Arts', 'Shounen', 'Super Power', 'Supernatural']",['Akita Shoten'],['TMS Entertainment']
9163,Attack No.1 (1970),Movie,6.34,103,10265,484,1,Unknown,21-Mar-70,https://myanimelist.net/anime/9163/Attack_No1_1970,"['Sports', 'Drama', 'Shoujo']",['Tokyo Movie Shinsha'],
9164,Attack No.1: Namida no Fushichou,Movie,6.22,66,10993,357,1,Unknown,17-Mar-71,https://myanimelist.net/anime/9164/Attack_No1__Namida_no_Fushichou,"['Sports', 'Drama', 'Shoujo']",['Tokyo Movie Shinsha'],
9167,Shukufuku no Campanella Specials,Special,5.94,1265,6635,3192,6,Unknown,"Sep 22, 2010 to Feb 24, 2011",https://myanimelist.net/anime/9167/Shukufuku_no_Campanella_Specials,['Ecchi'],['AIC'],
9181,Motto To LOVE-Ru,TV,7.52,106333,499,178466,12,Manga,"Oct 6, 2010 to Dec 22, 2010",https://myanimelist.net/anime/9181/Motto_To_LOVE-Ru,"['Sci-Fi', 'Harem', 'Comedy', 'Ecchi', 'School', 'Shounen']","['Geneon Universal Entertainment', 'TBS', 'Magic Capsule', 'PRA']",['Xebec']
9205,Kaichuu!,ONA,5.92,4026,4663,7744,4,Manga,"Jul 16, 2010 to Oct, 2011",https://myanimelist.net/anime/9205/Kaichuu,"['Comedy', 'Seinen', 'Sports']",['Soft Garage'],
9213,Kowarekake no Orgel,OVA,7.43,13989,2525,28732,1,Original,31-Dec-09,https://myanimelist.net/anime/9213/Kowarekake_no_Orgel,"['Drama', 'Music', 'Sci-Fi', 'Slice of Life']",['ElectromagneticWave'],
9228,Wan Wan Chuushingura,Movie,5.95,112,10526,408,1,Unknown,21-Dec-63,https://myanimelist.net/anime/9228/Wan_Wan_Chuushingura,"['Action', 'Adventure', 'Drama', 'Fantasy']",,['Toei Animation']
9232,Yebisu Celebrities 1st,OVA,6.09,3133,4934,6356,1,Manga,28-May-10,https://myanimelist.net/anime/9232/Yebisu_Celebrities_1st,['Yaoi'],['GARDEN LODGE'],
9239,Scoopers,OVA,5.66,155,10327,459,1,Manga,1-Dec-87,https://myanimelist.net/anime/9239/Scoopers,"['Action', 'Sci-Fi']",['ACC Production'],
9242,Nine: Original-ban,Movie,6.22,45,11298,232,1,Unknown,16-Sep-83,https://myanimelist.net/anime/9242/Nine__Original-ban,"['Action', 'School', 'Sports']","['Group TAC', 'Fuji TV']",
9243,Nine 2: Koibito Sengen,Special,6.38,40,11578,210,1,Unknown,18-Dec-83,https://myanimelist.net/anime/9243/Nine_2__Koibito_Sengen,"['Action', 'School', 'Sports']","['Group TAC', 'Fuji TV']",
9252,Break Blade 3: Kyoujin no Kizu,Movie,7.89,30086,1856,47810,1,Manga,25-Sep-10,https://myanimelist.net/anime/9252/Break_Blade_3__Kyoujin_no_Kizu,"['Action', 'Fantasy', 'Mecha', 'Military', 'Shounen']",['KlockWorx'],"['Production I.G', 'Xebec']"
9253,Steins;Gate,TV,9.14,561405,7,1005781,24,Visual novel,"Apr 6, 2011 to Sep 14, 2011",https://myanimelist.net/anime/9253/Steins_Gate,"['Thriller', 'Sci-Fi']","['Frontier Works', 'Media Factory', 'Movic', 'AT-X', 'Kadokawa Pictures Japan', 'Nitroplus']",['White Fox']
9257,Denki Musou Hana,OVA,5.06,119,10080,575,2,Manga,"Jun 25, 2007 to Oct 25, 2007",https://myanimelist.net/anime/9257/Denki_Musou_Hana,['Hentai'],['AniMan'],
9260,Kizumonogatari I: Tekketsu-hen,Movie,8.43,81280,359,191858,1,Light novel,8-Jan-16,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,"['Mystery', 'Supernatural', 'Vampire']","['Aniplex', 'Kodansha']",['Shaft']
9264,Hana no Ko Lunlun: Konnichiwa Sakura no Kuni,Movie,5.93,184,10269,555,1,Unknown,15-Mar-80,https://myanimelist.net/anime/9264/Hana_no_Ko_Lunlun__Konnichiwa_Sakura_no_Kuni,"['Magic', 'Drama', 'Shoujo']",,['Toei Animation']
9270,Imbalance Girl,OVA,5.23,109,10479,508,1,Unknown,16-Jun-04,https://myanimelist.net/anime/9270/Imbalance_Girl,['Hentai'],,
9274,Chou Seimeitai Transformers Beast Wars Metals: Convoy Daihenshin!,Movie,6,142,10493,488,1,Unknown,31-Jul-99,https://myanimelist.net/anime/9274/Chou_Seimeitai_Transformers_Beast_Wars_Metals__Convoy_Daihenshin,"['Action', 'Mecha', 'Sci-Fi', 'Super Power']",,
9279,Bara no Hana to Joe,Movie,5.73,188,10527,462,1,Unknown,"Mar, 1977",https://myanimelist.net/anime/9279/Bara_no_Hana_to_Joe,"['Kids', 'Drama']",['Sanrio'],
9284,Bakuhatsu Gorou,TV,5.63,27,11420,275,26,Unknown,"Apr 3, 1970 to Sep 25, 1970",https://myanimelist.net/anime/9284/Bakuhatsu_Gorou,"['Comedy', 'Sports']",['Tele-Cartoon Japan'],
9287,Inyouchuu Shoku: Ryoushokutou Taimaroku - Kanzenhan,OVA,6.33,702,7009,2255,1,Visual novel,18-Jun-10,https://myanimelist.net/anime/9287/Inyouchuu_Shoku__Ryoushokutou_Taimaroku_-_Kanzenhan,"['Hentai', 'Horror', 'Demons', 'Supernatural', 'Fantasy']",['Milky Animation Label'],
9288,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... Desu ka!?,Movie,7.71,2117,5773,4081,1,Original,30-Oct-10,https://myanimelist.net/anime/9288/Heartcatch_Precure_Movie__Hana_no_Miyako_de_Fashion_Show_Desu_ka,"['Fantasy', 'Kids', 'Magic', 'Shoujo']",,['Toei Animation']
9289,Hanasaku Iroha,TV,8.01,81868,459,195365,26,Original,"Apr 3, 2011 to Sep 25, 2011",https://myanimelist.net/anime/9289/Hanasaku_Iroha,"['Slice of Life', 'Comedy', 'Drama']","['Bandai Visual', 'Sotsu', 'Yomiuri Telecasting', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']",['P.A. Works']
9290,Moyashimon CGI Anime,OVA,6.26,384,8140,1649,1,Unknown,6-Jul-10,https://myanimelist.net/anime/9290/Moyashimon_CGI_Anime,"['Comedy', 'School', 'Supernatural']",,['Shirogumi']
9291,Hello Kitty no Cinderella,Movie,6.49,196,10335,504,1,Unknown,22-Jul-89,https://myanimelist.net/anime/9291/Hello_Kitty_no_Cinderella,"['Kids', 'Fantasy']","['Sanrio', 'Toho']",
9292,Kiki to Lala no Aoi Tori,Movie,6.05,51,12332,222,1,Unknown,22-Jul-89,https://myanimelist.net/anime/9292/Kiki_to_Lala_no_Aoi_Tori,['Kids'],,
9303,Noel no Fushigi na Bouken,Movie,5.87,57,12576,189,1,Unknown,29-Apr-83,https://myanimelist.net/anime/9303/Noel_no_Fushigi_na_Bouken,"['Adventure', 'Comedy', 'Fantasy']",,
9304,Happy Day,OVA,4.83,29,11534,293,1,Unknown,26-Apr-02,https://myanimelist.net/anime/9304/Happy_Day,['Hentai'],,
9309,Kansen 3: Shuto Houkai,OVA,6.58,1226,6129,3447,2,Visual novel,"Sep 24, 2010 to Dec 24, 2010",https://myanimelist.net/anime/9309/Kansen_3__Shuto_Houkai,['Hentai'],['Suzuki Mirano'],
